ID OMM station;Humidité max;Latitude;Longitude
78922;100;14.774500;-60.875332
78894;100;17.901501;-62.852165
78890;100;16.334999;-61.004002
78897;100;16.264000;-61.516335
78925;100;14.595333;-60.995667
