ID OMM station;Altitude max;Latitude;Longitude
78925;3;14.595333;-60.995667
78897;11;16.264000;-61.516335
78922;26;14.774500;-60.875332
78890;27;16.334999;-61.004002
78894;44;17.901501;-62.852165
